,User Rating,Reviews,Price of Book in Dollars,Year,Genre
337,4.7,4725,16,2017,0
338,4.7,35799,39,2014,1
339,4.6,2580,9,2012,0
340,4.7,11813,10,2010,1
341,4.7,11813,10,2011,1
342,4.7,3536,17,2010,0
343,4.8,6600,11,2014,1
344,4.2,1789,14,2012,0
345,4.8,12361,12,2019,0
346,4.7,858,53,2009,0
347,4.6,23148,6,2013,1
348,4.6,23148,6,2014,1
349,4.8,8081,8,2014,1
350,4.8,8081,8,2015,1
351,4.8,23358,12,2014,0
352,4.8,23358,12,2015,0
353,3.3,9372,12,2012,1
354,4.7,4633,21,2011,0
355,4.3,13061,6,2018,0
356,4.3,13061,6,2019,0
357,4.3,3523,13,2010,1
358,4.8,2774,0,2016,0
359,4.4,440,11,2010,0
360,4.8,8922,9,2013,1
361,4.8,8922,9,2014,1
362,4.8,8922,9,2015,1
363,4.1,2023,15,2011,0
364,4.0,1859,11,2009,1
365,4.7,50482,13,2012,1
366,4.7,50482,13,2013,1
367,4.7,50482,7,2014,1
368,4.7,50482,13,2014,1
369,4.6,3207,6,2009,0
370,4.6,3207,6,2010,0
371,4.6,3207,6,2011,0
372,4.6,3207,6,2012,0
373,4.6,3207,6,2013,0
374,4.6,803,9,2009,0
375,4.7,23308,6,2013,0
376,4.7,23308,6,2015,0
377,4.7,23308,6,2016,0
378,4.7,23308,6,2017,0
379,4.7,23308,6,2018,0
380,4.7,23308,6,2019,0
381,4.8,5836,0,2017,1
382,4.1,79446,18,2015,1
383,4.1,79446,7,2016,1
384,4.7,7747,14,2010,1
385,4.7,7747,14,2011,1
386,4.7,7251,9,2010,1
387,4.7,7251,16,2009,1
388,4.4,10559,2,2009,1
389,4.4,10559,2,2010,1
390,4.8,5249,5,2016,1
391,4.8,5249,5,2017,1
392,3.9,33844,20,2013,1
393,3.9,33844,20,2014,1
394,4.4,11616,7,2012,1
395,4.4,11616,7,2013,1
396,4.4,11616,7,2014,1
397,4.5,13609,14,2019,1
398,4.7,8587,10,2009,1
399,4.3,29442,7,2017,1
400,4.6,11098,13,2012,1
401,4.8,9947,11,2018,1
402,4.8,13871,6,2009,1
403,4.8,13871,6,2010,1
404,4.8,13871,8,2011,1
405,4.8,13871,7,2011,1
406,4.8,6982,14,2013,1
407,4.7,32122,14,2010,1
408,4.7,32122,8,2011,1
409,4.7,32122,8,2012,1
410,4.8,16949,30,2011,1
411,4.8,16949,30,2012,1
412,4.7,9289,13,2010,0
413,4.7,9289,9,2011,0
414,4.7,9289,9,2012,0
415,4.3,7368,7,2017,0
416,4.3,7368,7,2018,0
417,4.7,4028,9,2009,0
418,4.8,4628,7,2009,1
419,4.8,4628,7,2010,1
420,4.9,5396,20,2013,1
421,4.4,4247,13,2011,0
422,4.4,4247,13,2012,0
423,4.5,22641,11,2015,0
424,4.5,22641,11,2016,0
425,4.5,22641,11,2017,0
426,4.5,22641,11,2019,0
427,4.4,6222,18,2011,1
428,4.8,4506,14,2010,1
429,4.2,8747,19,2009,1
430,4.8,1655,13,2009,0
431,4.9,7861,5,2016,0
432,4.8,6247,10,2012,1
433,4.7,39459,9,2015,1
434,4.5,10101,8,2014,1
435,4.8,5898,8,2018,1
436,4.6,2744,12,2019,0
437,4.8,49288,11,2015,1
438,4.8,49288,11,2016,1
439,4.4,1201,40,2010,0
440,4.4,1201,40,2011,0
441,4.4,1201,40,2012,0
442,4.4,1201,40,2013,0
443,4.4,1201,40,2014,0
444,4.3,807,36,2016,0
445,4.3,3759,16,2011,1
446,4.8,2663,17,2013,0
447,4.8,3428,14,2015,0
448,4.8,2876,21,2012,0
449,4.5,3601,18,2018,0
450,4.4,7058,17,2018,0
451,4.8,9784,5,2017,1
452,4.8,9784,5,2018,1
453,4.6,10795,21,2012,0
454,4.3,10191,18,2018,1
455,4.3,14493,18,2012,1
456,4.6,2186,12,2010,1
457,4.6,1204,14,2010,0
458,4.8,2091,12,2012,1
459,4.6,19720,8,2009,1
460,4.6,19720,8,2017,1
461,4.6,2122,0,2010,1
462,4.5,27536,14,2019,1
463,4.8,4290,10,2011,1
464,4.6,26490,15,2017,0
465,4.6,26490,15,2018,0
466,4.6,26490,15,2019,0
467,4.7,5487,9,2017,0
468,4.7,6377,7,2012,1
469,4.7,1463,10,2011,1
470,4.4,3759,6,2009,1
471,4.4,3503,9,2009,0
472,4.7,11550,10,2019,0
473,4.7,3801,82,2009,1
474,4.8,3796,12,2010,1
475,4.7,9030,10,2019,0
476,4.9,19546,5,2013,1
477,4.9,19546,5,2014,1
478,4.9,19546,5,2015,1
479,4.9,19546,5,2016,1
480,4.9,19546,5,2017,1
481,4.9,19546,5,2018,1
482,4.9,19546,5,2019,1
483,4.6,7508,16,2015,0
484,4.6,7508,16,2016,0
485,4.6,7508,16,2017,0
486,4.9,8842,10,2016,1
487,4.9,8842,10,2017,1
488,4.9,8842,10,2018,1
489,4.9,8842,10,2019,1
490,4.8,30183,4,2018,1
491,4.8,30183,4,2019,1
492,4.7,6169,16,2015,0
493,4.7,7034,15,2013,0
494,4.6,11034,19,2011,0
495,4.6,11034,19,2012,0
496,4.5,7932,9,2017,1
497,4.5,1904,23,2012,0
498,4.3,3319,11,2009,0
499,4.3,3319,11,2010,0
500,4.6,11128,23,2014,0
501,4.6,11128,23,2015,0
502,4.6,11128,23,2016,0
503,4.6,11128,23,2017,0
504,4.3,5977,12,2011,0
505,4.8,26234,0,2013,1
506,4.8,26234,0,2014,1
507,4.8,26234,0,2015,1
508,4.8,26234,0,2016,1
509,4.8,26234,7,2019,1
510,4.6,4360,21,2017,0
511,4.8,2282,21,2010,1
512,4.5,438,15,2009,0
513,4.7,11676,9,2009,1
514,4.5,2586,5,2014,1
515,4.8,29673,16,2010,0
516,4.8,29673,16,2011,0
517,4.8,29673,16,2012,0
518,4.8,29673,13,2014,0
519,4.8,29673,16,2014,0
520,4.3,6740,20,2009,1
521,4.9,5956,11,2019,0
522,4.8,6108,4,2019,0
523,4.7,4585,9,2016,0
524,4.8,3829,42,2009,1
525,4.5,8958,12,2011,1
526,4.6,5492,18,2017,0
527,4.7,9292,17,2014,0
528,4.7,1873,14,2015,1
529,4.8,8170,13,2019,1
530,4.4,3341,9,2011,0
531,4.4,7497,6,2012,0
532,4.4,7497,6,2013,0
533,4.8,13779,14,2016,0
534,4.8,87841,15,2019,1
535,4.8,9967,13,2009,1
536,4.6,6669,12,2018,0
537,4.4,17044,18,2012,0
538,4.5,10760,15,2012,1
539,4.2,1302,11,2010,0
540,4.8,21625,9,2013,1
541,4.8,21625,9,2014,1
542,4.8,21625,9,2015,1
543,4.8,21625,9,2016,1
544,4.8,21625,9,2017,1
545,4.9,9413,8,2019,1
546,4.7,14331,8,2016,0
547,4.7,14331,8,2017,0
548,4.7,14331,8,2018,0
549,4.7,14331,8,2019,0
